"final_category","narrative_1","synopsis","assessments","events","events_6","phase","component","component_4","person_1_8"
"OTHER","Air carrier flight crew reported an NMAC with a UAS during approach. No evasive action was taken.","On approach to RXXC in ZZZ; approach control advised there was unauthorized drone use in the area. We were trying to ascertain how long ago the report was made when I observed a drone pass just left of the aircraft; approximately 20 feet from our left wing. We reported this immediately to ATC; including our altitude of 3;300 FT MSL. We were established on the ILS to XXC. After landing ATC had us make a phone call to tower. The drone appeared to be a relatively large quadcopter; gray or silver; and 4-5 feet in diameter. The incident happened too quickly to take any evasive maneuvers.","Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS)","Flight Crew Requested ATC Assistance / Clarification","Final Approach","","",""
"OTHER","Government UAS pilot reported exceeding authorized altitude during a flight.","Flying a training mission. New to 107 and flying this UAS. Misunderstood previous instruction from another pilot and flew too high while attempting to take pictures of objective. Spoke with other pilot who corrected misconception and educated on limits.","Human Factors; Chart Or Publication","Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR","General None Reported / Taken","Climb","","","Situational Awareness; Training / Qualification"
"OTHER","Pilot reported they descended below their assigned altitude and received a Low Altitude Alert from ATC.","On Day 0 I was conducting a flight from ZZZ to CHA. I just recently transition from my Aircraft Y to the Aircraft X. The major difference between the two is the Garmin G3000 integrated flight system.  I'm still learning all the features and it's a very comprehensive system. I felt it was good to do some practice flights in real world situations so I filed multiple flight legs; to gain more experience with the G3000. It was on the second leg going to CHA with Chattanooga Approach when the incident happened. It was getting quite busy with both the controller and myself in the cockpit. I was given a clearance to descend to 3000 and fly heading 290. I responded by saying '290 Aircraft X'. The controller didn't pick up the fact I didn't read back the assigned altitude and he moved on to other traffic. I then inadvertently set 2000 in the altitude preselect. The controller then got caught up working an Aircraft Z pilot and by the time he got back to me; I was given instructions to fly 230 and join the approach course.  The controller was so delayed that by the time I turned the heading bug to 230 and armed the Nav feature; we had already flown through the final approach course and as a result the autopilot never captured the approach course and we continued to fly north of the final.  It was soon after the controller advised a low altitude alert and instructed me to climb to 2700 feet.  On landing I was given a call by the Controller Supervisor to call him regarding a possible pilot deviation. I feel there were multiple mistakes made both on my part and on the controller. I didn't read back an altitude clearance; and the controller didn't respond correctly by confirming my altitude read back. Secondly controller was late in giving me instructions to join the final which resulted in not capturing the final and getting lower than 3000 feet which caused the low altitude alert.","Human Factors; Chart Or Publication; Procedure; Software and Automation","ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented","Initial Approach","","","Communication Breakdown; Situational Awareness; Training / Qualification; Workload; Human-Machine Interface"
"OTHER","Flight Instructor with student reported an NMAC with a UAS during cruise flight. The student pilot took evasive action to avoid possible collision with the UAS.","Shortly after entering the CXO airport's class D airspace; flying southbound directly over the highway I-45 on the left edge of the airspace; while my student had the controls of the airplane; I noticed a dark object through the windshield slightly to the left and seemingly level with our flight path. It initially looked like a bird and we assumed it would fly out of the way. As we continued forward shortly after; we noticed that it was a dark black drone with white markings on the top and four propellers. I called it out and my student turned slightly to the right to avoid contact with drone. We were flying at 1200ft MSL inside class D airspace and came extremely close to colliding with said drone; however with slight evasive action were able to avoid collision. The drone came within 15-20ft of our wing strut; at level altitude with our plane.","Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS)","Flight Crew Took Evasive Action","Cruise","","","Time Pressure"
"OTHER","A Flight Instructor on short final to a non-towered airport reported an NMAC when another aircraft turned from base leg to final in front of them.","While on 1/2 mile final approach at 600 feet in altitude to Runway XX at ZZZ in Aircraft X; another Cessna 172 Aircraft Y turned base to final approximately 300 feet in front and 50 below of me and my student pilot. I keyed up on frequency XXX.XXX and said 'what are you doing'. The response on the frequency was 'I didn't see you I will go around'. I then transmitted 'were you listening' and no response was transmitted. Aircraft Y continued to descend to what appeared to be just slightly above the runway then started a climb out on runway heading. I took the controls of Aircraft X from my student immediately upon seeing Aircraft Y and continued the final approach to a normal full stop landing.","Airport; Environment - Non Weather Related; Procedure","Conflict NMAC","Flight Crew Took Evasive Action","Final Approach","","","Training / Qualification"
"OTHER","Corporate jet Captain reported being established on the RNAV GPS to Runway 28L at HWD Airport but received a TA from a VFR general aviation aircraft that was not in communication with ATC. The reporter stated that this was a common problem as VFR traffic use this corridor to avoid controlled airspace and terrain.","We were established on the RNAV GPS to HWD 28L. IMC on the final approach course and LPV path; but observed TCAS traffic ahead about 3 NM and 1000 feet below. While IMC ATC advised us of the traffic; and advised they were not talking to them. We broke out at approximately 3900 MSL and acquired the VFR Aircraft Y at about 2 NM on a converging course; but below. Advised ATC that we had the traffic at 11 o'clock and converging in sight; and the airport. ATC cleared us for the visual 28L. About 2 seconds later we got a TA; followed by a TCAS RA about 3 seconds later. We had the traffic in sight; without conflict but still complied with the RA. The VFR traffic passed under our nose about 300 feet below. Once clear of the conflict we continued the visual approach.This is a common problem at this location. VFR traffic use this corridor to avoid Class B; C; and D airspace; as well as local terrain; often with minimal cloud clearance. The airspace design funnels VFR aircraft to this point; and they rarely are in radio communication with anyone. If on the approach IMC to HWD it is not uncommon for ATC to cancel your approach clearance and vector you back around for another. If on the approach and you break out it is immediately a priority to scan for VFR traffic. RAs happen regularly; especially on the weekends during daylight hours.","Human Factors; Airspace Structure; Procedure","Conflict Airborne Conflict","Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown; Workload"
"OTHER","B737 Captain reported pilot flying failed to flare properly which resulted in a hard landing.","This was a reposition flight with only the pilots on board. After a normal; stable approach; the landing flare was sub-optimal which resulted in a bounced landing. A go-around was immediately initiated; followed by a return to the airport and normal landing. While the bounced landing was firm; there were no oxygen masks or overhead binds dropped. The aircraft functioned normally on the second approach and landing. Dispatch was advised of the go-around. In the event the first landing reached the threshold of a hard landing; a maintenance write up was done followed by a briefing with the crew from the mechanic that accomplished the hard landing inspection. The mechanic said there was no damage found and a new Maintenance Release would be issued shortly.","Human Factors","Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Loss Of Aircraft Control","Flight Crew Executed Go Around / Missed Approach","Landing","","",""
"OTHER","General aviation pilot reported a near miss with a helicopter at night; near a non-towered airport. The general aviation pilot maneuvered away from the helicopter and both coordinated altitude changes to provide separation on the radio.","Just prior to arriving at the Flying W airport for landing a helicopter was traveling northbound and I was traveling south east bound. I noticed the helicopter headlight at my 1:30 o'clock bearing.  Both he and I announced our position at about 5 mi from the airport. I also noticed the helicopter on my panel navigator map and saw his altitude was 200' less than me.  Just past the airport I called on the radio saying I was planning on making a left turn to go perpendicular to his track to avoid traffic.  I momentarily climbed and he momentarily descended.  No other events occurred.","Human Factors; Airspace Structure","Conflict NMAC","Flight Crew Took Evasive Action","Initial Approach","","","Situational Awareness"
"OTHER","A C-172M instructor reported descending below minimum altitude when performing training maneuvers with a student during a steep turn.","I was instructing a student on ground reference maneuvers (turns around a point) and I was instructing my student to steepen a turn and in doing so we descended to roughly 450 ft AGL. My inattention to the slow decent caused by the increase in bank led to us being lower than intended. In the future; I will be sure to not lose awareness when instructing.","Human Factors","Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Loss Of Aircraft Control","General None Reported / Taken","Other Maneuvering","","","Situational Awareness; Training / Qualification"
"OTHER","DHC6 Pilot reported observing a MU-2 purposely overflying a C-150 that had just landed; resulting in a NMAC.","I was in Aircraft X as PF with an IP (Flight Instructor) as PNF on a training flight. We were holding short of RWY XX. Multiple aircraft in the pattern; as much as 5 aircraft. Most were Cessna and Piper training aircraft. Very busy airspace. Aircraft Y reports into the frequency; telling another aircraft that he 'will be right on top of them' and asking their intentions. I assume many bewildered since from this point on; non-standard communications were used and plain language was utilized to communicate. Aircraft Y wanted to land amidst all of the other; much slower aircraft; complains that ZZZ Approach put him there. Eventually joins the pattern. A Cessna 150 was approaching the runway; and lands. Meanwhile; Aircraft Y conducts his own approach right behind the C150. He could have known on the base to final turn that he was too close. He approaches and flies over the runway; comes to what looks like within 100 feet (vertically) of the C150 and goes around. My IP tells him over CTAF that that was not necessary and was reckless. Aircraft Y responds and says that he was just doing an approach and went around. Aircraft Y rejoins the pattern. He turns downwind to base; cutting off what looked like 2 aircraft that were on base and base to final turn; respectively. Makes another low approach. Eventually; space clears up in the pattern; and my aircraft departs from RWY XX with no issue.","Human Factors; Airport; Procedure","Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy","General None Reported / Taken","Taxi","","","Communication Breakdown; Other / Unknown"
"OTHER","Fractional First Officer reported entering a VFR pattern altitude appropriate for jet aircraft; but was informed by ATC that the correct altitude was lower. Reporter noted the pattern altitude for jets was not listed on any VNY charts and needed to be addressed.","I; Person A; was acting as SIC/pilot monitoring sitting right seat on a ferry flight from ZZZ to VNY. We were vectored into the downwind for Runway 16R. We were brought down to 5000 feet and asked if we were able to see the airport. We called the airport in sight and were cleared for the visual approach.The PIC/pilot flying was Person B. Upon being cleared for the visual Person B started a slow descent due to the terrain and multiple GA aircraft flying in the area. As we turned to final we were high due to aircraft avoidance and terrain avoidance. On final there was also a helicopter that was coming into our approach enough that we were alerted to it but did not receive an RA. During the brief for the approach it was determined pattern altitude would be 2300 feet as VNY [was] 802 feet in elevation.Person B called for a go-around due to our high altitude and we began the climb out. I could see another aircraft headed into Burbank and was about to point it out to Person B when we received an RA. Person B responded to the RA and descended. I believe we were 2100 - 2200 feet when we received the RA. Once the RA was complete we conducted a pattern and landed without issue. During the go-around Tower was questioning why we were going around. Whole responding to Tower we received the RA. While responding to the RA Tower informed us of the traffic and pattern altitude was 2000 feet. Person B descended to 2000 feet. Tower asked if we had to descend or climb for the RA. After informing them of the descent were given instructions for the pattern and landing.Person B and I both questioned the 2000-foot pattern altitude as we had not observed that in the Jeppesen charts or on FOQA chart. We both went through the charts separately and could find no information on the pattern altitude being 2000 feet. I personally have ForeFlight so I checked that. In ForeFlight's information for VNY I located the 2000-foot pattern altitude but it did not specify jets. So even if we would've observed this in ForeFlight we still would've gone with 2300 feet as it is 1500 feet above AGL. Suggestions: I have been to this airport multiple times. There is always a large amount of GA and helicopter traffic. We were kept high due to all of this traffic and on top of it had a helicopter give us a traffic warning on approach.The pattern altitude for jets is not listed on any charts and needs to be addressed.","Chart Or Publication; Software and Automation; Airspace Structure; ATC Equipment / Nav Facility / Buildings; Procedure","Conflict Airborne Conflict; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance","Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Executed Go Around / Missed Approach; Flight Crew FLC complied w / Automation / Advisory","Final Approach; Initial Approach","","","Confusion; Workload; Communication Breakdown"
"OTHER","A Corporate pilot reported descending below their assigned altitude and received a Low Altitude Alert from ATC.","While arriving at RNO via the SCOLA1 arrival i deviated from the clearance by descending from the MEA.  While transitioning from IMC to VMC conditions I failed to arrest the aircraft descent at the proper altitude of 10000 ft and descended below the MEA  in VMC conditions.  Simultaneously I was working with ATC on my request for a visual approach in VMC conditions. The controller was unable to issue the clearance due to other IFR traffic in the area; and instead issued a vector with instructions to anticipate further clearance.  With the airport and terrain in sight I subconsciously continued a shallow controlled decent not being conscious of vacating altitude without proper clearance.  When my proximity to the terrain generated a low altitude alert; the controller promptly issued an advisory with instructions to climb. I initiated an immediate climb; and realizing the deviation from regulation immediately cancelled IFR services.  The flight followed normal sequencing with out conflict to a normal landing.Human factors included a desire to remain in VMC conditions for the approach.  I initially intended to cancel IFR service with ATC and when that did not occur; the workload of the reorientation caused me to mentally overlook the regulatory altitude.  Although the area of VMC was a large area; a continued northbound heading would result in reentering IMC without a descent.  The IFR cancellation simply did not happen early enough. If I was in the same situation again I would have cancelled IFR upon reaching VMC conditions and not accepted the controllers clearance.  It would have relieved the controller of some separations responsibilities from other aircraft and terrain; and I could have maneuvered at the controllers discretion.","Airspace Structure; Chart Or Publication; Human Factors; Procedure","Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification; Flight Crew FLC complied w / Automation / Advisory","Descent","","","Distraction; Situational Awareness"
"OTHER","ZAU Center Controller and their trainee reported they missed an erroneous altitude read back and the aircraft descended below the Minimum Enroute Altitude.","I was training a controller on his first R Side he has about 160 hours at the sector. Aircraft X checked into descending to 050 on a 080 heading vectors ILS4 at IKK. Trainee verified pilot has WX and NOTAMs at IKK and read him the pertinent NOTAM about the Autopilot coupled approach unavailable below 988 MSL. Trainee then issued a decent to 3 thousand and we both heard 3 thousand readback. After reviewing the event; the pilot read back 2 thousand and it was clear. We saw the pilot descend through 2 thousand 8 hundred. At the next update he was showing 2 thousand 4 hundred and I took over and issued a low altitude alert. The pilot explained he was issued 2 thousand. I did not argue and just verified I needed him to climb to 3 thousand immediately. After talking with my trainee; we will both be more conscious of hear back read back errors and expectation bias. In addition; he will use the correct phraseology of TREE.","Human Factors; Procedure; Chart Or Publication; Airspace Structure","ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Clearance","Descent","","","Communication Breakdown; Situational Awareness; Training / Qualification"
"OTHER","GA Flight Instructor reported while being vectored for a practice approach ATC advised them of traffic resulting in ATC then issuing an immediate climb to avoid a collision with traffic.","Student and I were talking to Atlanta Approach; had received a transponder; code and were given direct to the initial approach fix (RIVME) for the RNAV RWY 18 approach into AUO. We were descending to join the RNAV approach at the time. Atlanta advised us of traffic ahead that was headed southbound at 3;200 MSL. Student and I were looking for the traffic. Shortly after; Atlanta advised us of the traffic turning eastbound and to stop our descent. They then advised us to climb immediately to 3;500; causing us to start an immediate climb as instructed. While in climb; we finally spotted the traffic behind us at approximately 300 feet below us and about 200 feet behind. Aircraft was not on ADS-B. Haze/Smoke was making it difficult to spot aircraft as well as our heading was making us look into the setting sun.","Human Factors","Conflict NMAC","Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action","Initial Approach","","",""
"OTHER","A Cubcrafter pilot reported an NMAC with a Citation when both aircraft departed intersecting runways from a non-towered airport at the same time.","ZZZ is an uncontrolled airport with 3 runways consisting of two parallel runways (XXL/XYR; XXR/XYL; and XZ/XA) XXL/XYR is grass and the other two runways are pavement. The wind was favoring runway XY blowing 260/10 at the time of the incident. Runway XYL was busy with traffic coming and going with many planes staying in the pattern doing touch and go's. My plane is a tailwheel aircraft and I was doing my pattern work on the parallel grass runway. I was sharing the runway with red Cub which is another tailwheel aircraft. He and I had the grass all to ourselves which was great because the parallel paved runway was so busy! Little did I know that a Citation Jet was trying to get out and they decided to launch off of runway XA at the very same time I was launching off on XYR. I never saw the jet fly directly over my plane but I saw the huge shadow that cross perpendicular to my flight path and knew that it was close. It wasn't until I came back and landed that the pilot of the red Cub told me that the jet appeared to take evasive action when they saw me by dramatically increasing their rate of climb to avoid me. Then when I got home I received a phone call from a friend that saw it all happen as well. It's my understanding from others that I announced my takeoff roll on XYR at the same time the Citation made his call departing on runway XA. The Citation never acknowledged calls from other aircraft after the close call.","Airport; Procedure; Human Factors; Environment - Non Weather Related","Conflict NMAC","","Takeoff / Launch","","","Communication Breakdown; Situational Awareness"
"OTHER","B737 Captain reported a balloon passing over their wing while on approach.","As we we're on approach into ZZZ about 23 miles from the approach end of Runway XXC we heard reports of an Ultralight aircraft. We were on a base leg and as I was scanning my instruments my first officer called out 'its right there; right there...' I looked up and caught what appears to be a balloon fly over our wing in between our winglet and fuselage. We reported it promptly to ATC and they began working around the problem. Landed uneventfully and I discussed and debriefed it with my FO. We decided it be best to fill out an report.","Airspace Structure","Conflict NMAC","Flight Crew Took Evasive Action","Final Approach","","",""
"OTHER","Air carrier First Officer reported the flight crew loaded the wrong fix and flew approximately 8 miles off course before being corrected by ATC. The reporter stated that the fixes KP12E and KP21E are quite similar and also close in proximity; which led to the mistake going unnoticed during route verification.","The Captain and I set the Multipurpose Control Display Unit (MCDU) route and verified fixes per procedures during preflight. However; one of the assigned fixes along our cleared route was loaded incorrectly. KP21E was the fix we were cleared to. The Captain and I incorrectly entered the fix KP12E and did not catch our mistake during our preflight checks and MCDU verification. This caused us to deviate approximately 8 miles off filed course before ATC corrected us.The cause of this event was a combination of human factors and the fact that those fixes are so similar despite being close together. KP12E and KP21E are only 90 miles apart and very similar; which caused the mistake to go undetected when checking the plan view of the route as well as reading and verifying the PDC. The Captain and I believed we had the correct fix loaded. If the fixes were not nearly identical we would have recognized it was not the correct fix.Perhaps two fixes in such close proximity should not be so similar; and crews should take extra care in route verification especially when there are fixes with numbers.","Chart Or Publication; Human Factors","Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance","Cruise","","","Confusion; Situational Awareness; Human-Machine Interface"
"OTHER","Air carrier Captain reported an NMAC with a UAS during cruise flight. No evasive action was taken.","While at cruise we passed a drone at very close range.  It was just off and slightly below our right wing.  Its size was approximately 2ft x 2ft; square shaped.","Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS)","General None Reported / Taken","Cruise","","",""
"OTHER","A Flight Instructor reported they taxied on to the runway to depart from a non-towered airport when they observed an aircraft on an opposite direction final same runway. They made visual contact with the aircraft and it discontinued its approach.","I was sitting in the passenger seat of a 2 place aircraft; with the pilot in command and owner of the aircraft at 4N1 at the hold short line for runway 24. We were going to conduct a flight for evaluation purposes. After evaluating the non-standard ASOS and observing several windsocks at the facility; the winds favoring runway 24; with runway 06 and 24 available; the PIC elected to taxi to Runway 24 which was the favorable runway at the time. After completing pre takeoff procedures and observing traffic in the area by visually scanning the pattern; we were set to takeoff on runway 24. I made the radio calls for the pilot flying to provide workload relief. I made a standard call to announce taking the runway while observing an aircraft entering the pattern towards the midfield from the northwest for runway 6. I made several calls about us taking runway 24 which went unanswered.Once our aircraft was lined up ready for take off; the other aircraft flew a base and final for runway 6 and made an announcement that I heard. No other announcements were heard by me or the pilot flying. I immediately answered that we were lined up on runway 24 and if they were observing us from his position. I then asked the pilot flying to get ready to exit the runway as I believed the other aircraft did not hear or see us on the runway. The aircraft replied that they were final for 6 going around. I then observed the aircraft making what appeared to be a base to final turn for runway 6 then proceeded to gain altitude and fly north east. The aircraft which appeared to be Aircraft Y. I asked if they heard any of my announcements to which they didn't reply initially; then replied that they heard me. They asked that we extend our departure leg to make room for him to re enter the pattern to which I replied in the affirmative and the pilot flying proceeded to depart without further incident.","Procedure; Human Factors; Airport","Conflict Ground Conflict; Critical","","Taxi","","","Workload; Time Pressure; Communication Breakdown"
"OTHER","R44 pilot reported a NMAC with a non communicating UH-60 helicopter operating in Class D airspace. Pilot took evasive action to avoid a collision.","Turning inbound to ZZZ from my tour of downtown. I made my inbound call to ZZZ. Received clearance to proceed inbound and was cleared to land Taxiway 1. As I leveled through my turn and started my scan. A blackhawk passing to the west with no communications was at my same altitude. I immediately descended and turned left to pass behind them. Contacted ZZZ Tower and asked if they had them on radar. They did not. Controller asked for a position report of them and their direction. They also were not speaking to me on ZZZ heli/air to air frequency. After the flight we couldn't find flight data from the online trackers. A secondary pilot that happened to be flying with me had his Ipad and Foreflight did pick him up off of the internet traffic last minute. Tower was notified and I don't believe contact has been made to that aircraft yet.","Airspace Structure; Human Factors","Conflict NMAC","Flight Crew Took Evasive Action","Descent","","","Communication Breakdown; Time Pressure"
"OTHER","Pilot reported the ASOS at MRF Airport is constantly out of service or partially functional; and inaccurate on many occasions. When the ASOS malfunctioning; ZAB Center is unable to issue the approach.","The ASOS at this airport is constantly out of service or partially functional - or not reporting the weather online. This poses an aviation safety hazard as one cannot monitor the destination weather while enroute.As has happened before; I approached destination not knowing the ceiling and visibility until 5 minutes away when I was able to hear the one-minute weather radio broadcast. The ground visibility was as low as 1/4 SM in the previous hour; as reported by a local pilot to me later. An unprepared pilot may not be ready for this and could turn a changing-weather accident into a fuel exhaustion accident in this remote area where alternates are not handy.The in-flight visibility on my arrival turned out to be 4 SM (the GPS distance) despite the ASOS reporting 10 SM - so it is not even accurate. Local pilots report the wind direction often to be 30° 'off' - as it was tonight. Both of these are also longstanding; unaddressed safety hazards.Center was unable to issue the approach because the ASOS is not reporting T/DP/AltSet. None of the approaches allow the use of the nearby ASOS; E38. Providing higher minimums on at least one approach; using E38 altimeter setting would help. This is commonly done at other airports.All pilots here understand that the ASOS will fail from time to time. Our issue is the length of time the outage exists. Right now the NOTAM states out of service"" two full months and it is suggested that it was out before that; and may go beyond two months.I have reported this issue before with no resolution. I believe it to be a significant enough issue to request assistance via this ASRS. The FAA/TxDOT should either repair this ASOS system; or provide funding so local authorities can repair it in a prompt manner.In my opinion the excuse of our distance from repair personnel is not acceptable. A larger airport would not tolerate such lengthy and repeated outages.""","Airport; ATC Equipment / Nav Facility / Buildings; Human Factors; Weather; Software and Automation","Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter Weather / Turbulence","","Descent","","","Communication Breakdown"
"OTHER","A J3 Cub pilot in the pattern at a private airstrip reported an NMAC when a helicopter passed close by.","About 2 miles to the east/northeast of ZZZ1 lays a private farm field airstrip that is not depicted on VFR sectionals. I have permission from the owner to land at said airstrip; and planned to do as such. However; I noticed that there were two light tailwheel aircraft preparing to takeoff from the strip; so I continued to circle the field in a left traffic pattern. While doing so; while I was traveling westbound; a Hughes Series helicopter coming from the opposite direction traveling eastbound passed my aircraft on my left side; with a horizontal separation of around 500 feet and a vertical separation of around 200 feet. Positive visual contact was maintained and our two aircraft passed without incident.","Environment - Non Weather Related; Human Factors","Conflict NMAC","","Cruise","","","Situational Awareness; Distraction"
"OTHER","B737-800 pilot reported that while on initial approach; ATC issued a low altitude alert which resulted in an unstable approach and go-around.","Cleared for visual XX.  Flying RNAV XX as backup.  ATC requested 180 to 5 miles.  Flaps at 25 and about to complete final configuration when ATC called with low altitude alert.  Flight director showed right on path and VNAV PATH showing on FMA (Flight Mode Annunciator).  Recommend alt also looked correct from ZZZZZ visual approach chart.  Outside site picture all looked normal for this approach and we did not look low.  Distraction at this point meant we were now below 1000 feet without final flaps set.  Executed go-around.  Cause: Keeping speed up for ATC added to complexity of approach.  Slowing earlier would have helped.  Had not flown the visual in the last two years so not as familiar with approach.","Airspace Structure; Procedure","ATC Issue All Types; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","Air Traffic Control Issued Advisory / Alert; Flight Crew Executed Go Around / Missed Approach","Initial Approach","","","Communication Breakdown; Distraction"
"OTHER","GA pilot reported an NMAC in the traffic pattern with an aircraft that turned in front of them. Pilot took evasive action to prevent a collision.","I was in a rental aircraft; Aircraft X. I was climbing in the upwind of rwy 12L with the intention of beginning another circuit in the pattern. At ~2500' msl I noticed the airplane in the upwind of the parallel rwy 12R had made a left turnout into my flight path. This forced me to perform an early left crosswind turn at an altitude lower than what is typical. The tower controller advised me that this plane was meant to perform a right turnout instead of the left that was completed. I am unsure of this aircraft tail number.","Human Factors; Airspace Structure","Conflict NMAC; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance","Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action","Initial Climb","","","Communication Breakdown"
"OTHER","Small aircraft pilot reported an airborne conflict with a UAS while in cruise flight. No evasive action was taken.","Flying at 2500' MSL northbound after departing CDW (Essex Cty); saw a medium-sized un-manned drone southbound in level flight; starting from my 1:00 and passed by.  That's it - just very surprised to see a drone at that altitude - originally thought it was a large bird but as I passed by saw it was clearly colored like a drone.","Human Factors","Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy","General None Reported / Taken","Cruise","","",""
"OTHER","Air carrier flight crew reported during departure they flew the SID as charted; but the Air Traffic Controller informed them they had to be above 3000 feet before initiating the turn. Flight crew noted this was not charted on the SID.","Departing EWR; we were cleared via the Newark 5 Departure. The aircraft had MEL 32-XX which required that we keep our landing gear down for 7 minutes after departure. After pushback; the Captain notified Clearance that we were going to need to keep the gear down for 7 minutes after takeoff. Just prior to takeoff I asked Tower if they got the message about the situation and the Tower Controller said he received the information and would pass the information on to departure.After takeoff we used NAV… VNAV to fly the SID. Autopilot was engaged approximately 3 DME from IEZA. After 4 DME the aircraft turned to a 290 heading to follow the SID. The Departure Controller asked why we were turning; and we reported that we were following the SID; she then issued a traffic alert. We were IMC at the time but did not receive any TA or RA but were able to see the traffic on the Multi-Function Flight Display (MFD) and there was no further conflict with that traffic.We asked the controller for clarification; and she mentioned that we couldn't start the turn to 290 degrees till we were above 3000 feet prior to crossing the TEB 214 radial; which isn't what the SID plate displays. There was no further conversation with the Departure Controller regarding what happened and she eventually handed us off to NY Center.Cause: Possible incorrect communication between Tower and Departure and not fully understanding the issue with the aircraft and how it affects us compared to being a clean airplane.Suggestions: The Departure Controller could have given us a heading earlier to follow rather than follow the SID if traffic was going to be an issue. Also the controller shouldn't be giving incorrect altitudes like saying it's 3000 feet when it contradicts what the plate says.","Aircraft; Chart Or Publication; Procedure; Human Factors","ATC Issue All Types; Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation - Altitude Undershoot; Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Published Material / Policy","Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance","Climb","","","Situational Awareness; Communication Breakdown"
